Trial,Lux,Initial,Sturgeon,Sucker,Hept,Pred_cm,Prop_sturg,Prop_sucker,Prop_hept,Temp,sum,Predator,Light,Sturg_select,Suck_select,Hept_select,Pred_cm_raw,Temp_raw
1,0.2,40,8,10,29,-0.43125,0.170213,0.212766,0.617021,-0.4375,47,Rock bass,Full Moon,0.170212766,0.212765957,0.617021277,14,16.85
2,0.2,40,18,3,25,2.21875,0.391304,0.065217,0.543478,-0.4375,46,Rock bass,Full Moon,0.391304348,0.065217391,0.543478261,16.65,16.85
3,0.2,40,16,5,24,0.76875,0.355556,0.111111,0.533333,-0.2875,45,Rock bass,Full Moon,0.355555556,0.111111111,0.533333333,15.2,17
4,0.2,40,17,5,17,0.11875,0.435897,0.128205,0.435897,-0.2875,39,Rock bass,Full Moon,0.435897436,0.128205128,0.435897436,14.55,17
5,0.2,40,15,11,28,-0.58125,0.277778,0.203704,0.518519,0.5625,54,Rock bass,Full Moon,0.277777778,0.203703704,0.518518519,13.85,17.85
6,0.2,40,6,2,25,-0.33125,0.181818,0.060606,0.757576,0.5625,33,Rock bass,Full Moon,0.181818182,0.060606061,0.757575758,14.1,17.85
7,0.2,40,13,6,23,0.11875,0.309524,0.142857,0.547619,-0.8875,42,Rock bass,Full Moon,0.30952381,0.142857143,0.547619048,14.55,16.4
8,0.2,40,10,8,21,0.66875,0.25641,0.205128,0.538462,-0.8875,39,Rock bass,Full Moon,0.256410256,0.205128205,0.538461538,15.1,16.4
9,0,40,5,10,6,-1.13125,0.238095,0.47619,0.285714,2.1125,21,Rock bass,New Moon,0.238095238,0.476190476,0.285714286,13.3,19.4
10,0,40,11,3,24,1.76875,0.289474,0.078947,0.631579,2.1125,38,Rock bass,New Moon,0.289473684,0.078947368,0.631578947,16.2,19.4
11,0,40,4,3,2,-1.58125,0.444444,0.333333,0.222222,0.4625,9,Rock bass,New Moon,0.444444444,0.333333333,0.222222222,12.85,17.75
12,0,40,9,3,8,-1.18125,0.45,0.15,0.4,0.4625,20,Rock bass,New Moon,0.45,0.15,0.4,13.25,17.75
13,0,40,8,4,3,-0.98125,0.533333,0.266667,0.2,-1.0875,15,Rock bass,New Moon,0.533333333,0.266666667,0.2,13.45,16.2
14,0,40,13,9,17,1.86875,0.333333,0.230769,0.435897,-1.0875,39,Rock bass,New Moon,0.333333333,0.230769231,0.435897436,16.3,16.2
15,0,40,6,3,4,-2.28125,0.461538,0.230769,0.307692,-0.4375,13,Rock bass,New Moon,0.461538462,0.230769231,0.307692308,12.15,16.85
16,0,40,8,2,4,0.96875,0.571429,0.142857,0.285714,-0.4375,14,Rock bass,New Moon,0.571428571,0.142857143,0.285714286,15.4,16.85
17,0,40,4,16,12,0.325,0.125,0.5,0.375,-0.39375,32,Hornyhead chub,New Moon,0.125,0.5,0.375,11.7,23.05
18,0,40,5,11,8,1.775,0.208333,0.458333,0.333333,-0.39375,24,Hornyhead chub,New Moon,0.208333333,0.458333333,0.333333333,13.15,23.05
19,0,40,1,4,11,0.725,0.0625,0.25,0.6875,-1.29375,16,Hornyhead chub,New Moon,0.0625,0.25,0.6875,12.1,22.15
20,0,40,2,2,8,-1.375,0.166667,0.166667,0.666667,-1.29375,12,Hornyhead chub,New Moon,0.166666667,0.166666667,0.666666667,10,22.15
21,0,40,0,7,11,-0.975,0,0.388889,0.611111,-0.54375,18,Hornyhead chub,New Moon,0,0.388888889,0.611111111,10.4,22.9
22,0,40,0,4,14,0.175,0,0.222222,0.777778,-0.54375,18,Hornyhead chub,New Moon,0,0.222222222,0.777777778,11.55,22.9
23,0,40,3,0,7,1.025,0.3,0,0.7,1.25625,10,Hornyhead chub,New Moon,0.3,0,0.7,12.4,24.7
24,0,40,0,2,13,-1.275,0,0.133333,0.866667,1.25625,15,Hornyhead chub,New Moon,0,0.133333333,0.866666667,10.1,24.7
25,0.2,40,3,15,21,0.675,0.076923,0.384615,0.538462,0.25625,39,Hornyhead chub,Full Moon,0.076923077,0.384615385,0.538461538,12.05,23.7
26,0.2,40,5,17,17,1.075,0.128205,0.435897,0.435897,0.25625,39,Hornyhead chub,Full Moon,0.128205128,0.435897436,0.435897436,12.45,23.7
27,0.2,40,0,3,24,-1.275,0,0.111111,0.888889,-1.24375,27,Hornyhead chub,Full Moon,0,0.111111111,0.888888889,10.1,22.2
28,0.2,40,0,0,22,-0.175,0,0,1,-1.24375,22,Hornyhead chub,Full Moon,0,0,1,11.2,22.2
29,0.2,40,4,2,26,-0.975,0.125,0.0625,0.8125,0.05625,32,Hornyhead chub,Full Moon,0.125,0.0625,0.8125,10.4,23.5
30,0.2,40,0,7,14,0.425,0,0.333333,0.666667,0.05625,21,Hornyhead chub,Full Moon,0,0.333333333,0.666666667,11.8,23.5
31,0.2,40,0,10,17,0.175,0,0.37037,0.62963,1.90625,27,Hornyhead chub,Full Moon,0,0.37037037,0.62962963,11.55,25.35
32,0.2,40,2,9,24,-0.325,0.057143,0.257143,0.685714,1.90625,35,Hornyhead chub,Full Moon,0.057142857,0.257142857,0.685714286,11.05,25.35
